ID	Messagetemplate
0	You have been disconnected from the server.
1	The server will be coming down in $1 seconds. Please find a safe place to log out.
2	$s1 does not exist.
3	$s1 is not currently logged in.
4	You cannot ask yourself to apply to a clan.
5	$s1 already exists.
6	$s1 does not exist
7	You are already a member of $s1.
8	You are working with another clan.
9	$s1 is not a clan leader.
10	$s1 is working with another clan.
11	There are no applicants for this clan.
12	The applicant information is incorrect.
13	Unable to disperse: your clan has requested to participate in a castle siege.
14	Unable to disperse: your clan owns one or more castles or hideouts.
15	You are in siege.
16	You are not in siege.
17	The castle siege has begun.
18	The castle siege has ended.
19	There is a new Lord of the castle!
20	The gate is being opened.
21	The gate is being destroyed.
22	Your target is out of range.
23	Not enough HP.
24	Not enough MP.
25	Rejuvenating HP.
26	Rejuvenating MP.
27	Your casting has been interrupted.
28	You have obtained $s1 adena.
29	You have obtained $s2 $s1.
30	You have obtained $s1.
31	You cannot move while sitting.
32	You are unable to engage in combat. Please go to the nearest restart point.
32	You cannot move while casting.
34	Welcome to the World of Lineage II.
35	You hit for $s1 damage
36	$c1 hit you for $s2 damage.
37	$c1 hit you for $s2 damage.
38	The TGS2002 event begins!
39	The TGS2002 event is over. Thank you very much.
40	This is the TGS demo: the character will immediately be restored.
41	You carefully nock an arrow.
42	You have avoided $c1's attack.
43	You have missed.
44	Critical hit!
45	You have earned $s1 experience.
46	You use $s1.
47	You begin to use a(n) $s1.
48	$s1 is not available at this time: being prepared for reuse.
49	You have equipped your $s1.
50	Your target cannot be found.
51	You cannot use this on yourself.
52	You have earned $s1 adena.
53	You have earned $s2 $s1(s).
54	You have earned $s1.
55	You have failed to pick up $s1 adena.
56	You have failed to pick up $s1.
57	You have failed to pick up $s2 $s1(s).
58	You have failed to earn $s1 adena.
59	You have failed to earn $s1.
60	You have failed to earn $s2 $s1(s).
61	Nothing happened.
62	Your $s1 has been successfully enchanted.
63	Your +$S1 $S2 has been successfully enchanted.
64	The enchantment has failed! Your $s1 has been crystallized.
65	The enchantment has failed! Your +$s1 $s2 has been crystallized.
66	$c1 is inviting you to join a party. Do you accept?
67	$s1 has invited you to the join the clan, $s2. Do you wish to join?
68	Would you like to withdraw from the $s1 clan? If you leave, you will have to wait at least a day before joining another clan.
69	Would you like to dismiss $s1 from the clan? If you do so, you will have to wait at least a day before accepting a new member.
70	Do you wish to disperse the clan, $s1?
71	How many of your $s1(s) do you wish to discard?
72	How many of your $s1(s) do you wish to move?
73	How many of your $s1(s) do you wish to destroy?
74	Do you wish to destroy your $s1?
75	ID does not exist.
76	Incorrect password.
77	You cannot create another character. Please delete the existing character and try again.
78	When you delete a character, any items in his/her possession
79	This name already exists.
80	Names must be between 1-16 characters, excluding spaces or special characters.
81	Please select your race.
82	Please select your occupation.
83	Please select your gender.
84	You may not attack in a peaceful zone.
85	You may not attack this target in a peaceful zone.
86	Please enter your ID.
87	Please enter your password.
88	Your protocol version is different, please restart your client and run a full check.
89	Your protocol version is different, please continue.
90	You are unable to connect to the server.
91	Please select your hairstyle.
92	$s1 has worn off.
93	You do not have enough SP for this.
94	2004-2009 (c) Copyright NCsoft Corporation. All Rights Reserved.
95	You have earned $s1 experience and $s2 SP.
96	Your level has increased!
