id	type	description_short
1	Weapon 	Short Sword
2	Weapon 	Long Sword
3	Weapon 	Broadsword
4	Weapon 	Club
5	Weapon 	Mace
6	Weapon 	Apprentice's Wand
7	Weapon 	Apprentice's Rod
8	Weapon 	Willow Staff
9	Weapon 	Cedar Staff
10	Weapon 	Dagger
11	Weapon 	Bone Dagger
12	Weapon 	Knife
13	Weapon 	Short Bow
14	Weapon 	Bow
15	Weapon 	Short Spear
16	Weapon 	Great Spear
17	EtcItem 	Wooden Arrow
18	Armor 	Leather Shield
19	Armor 	Small Shield
20	Armor 	Buckler
21	Armor 	Shirt
22	Armor 	Leather Shirt
23	Armor 	Wooden Breastplate
24	Armor 	Bone Breastplate
25	Armor 	Piece Bone Breastplate
26	Armor 	Bronze Breastplate
27	Armor 	Hard Leather Shirt
28	Armor 	Pants
29	Armor 	Leather Pants
30	Armor 	Hard Leather Pants
31	Armor 	Bone Gaiters
32	Armor 	Piece Bone Gaiters
33	Armor 	Hard Leather Gaiters
34	Armor 	Bronze Gaiters
35	Armor 	Cloth Shoes
36	Armor 	Leather Sandals
37	Armor 	Leather Shoes
38	Armor 	Low Boots
39	Armor 	Boots
40	Armor 	Leather Boots
41	Armor 	Cloth Cap
42	Armor 	Leather Cap
43	Armor 	Wooden Helmet
44	Armor 	Leather Helmet
45	Armor 	Bone Helmet
46	Armor 	Bronze Helmet
47	Armor 	Helmet
48	Armor 	Short Gloves
49	Armor 	Gloves
50	Armor 	Leather Gloves
51	Armor 	Bracer
52	Weapon 	Vesper Dual Sword
53	EtcItem 	(Not In Use)
54	EtcItem 	(Not In Use)
55	EtcItem 	Shiny Agathion 7-Day Pack (Event)
56	EtcItem 	Sobbing Agathion 7-Day Pack (Event)
57	EtcItem 	Adena
58	Armor 	Mithril Breastplate
59	Armor 	Mithril Gaiters
60	Armor 	Composite Armor
61	Armor 	Mithril Plate Gloves
62	Armor 	Reinforced Mithril Boots
63	Armor 	Gauntlets
64	Armor 	Composite Boots
65	EtcItem 	Red Potion
66	Weapon 	Gladius
67	Weapon 	Orcish Sword
68	Weapon 	Falchion
69	Weapon 	Bastard Sword
70	Weapon 	Claymore
71	Weapon 	Flamberge
72	Weapon 	Stormbringer
73	Weapon 	Shamshir
74	Weapon 	Katana
75	Weapon 	Caliburs
76	Weapon 	Sword of Delusion
77	Weapon 	Tsurugi
78	Weapon 	Great Sword
79	Weapon 	Sword of Damascus
80	Weapon 	Tallum Blade
81	Weapon 	Dragon Slayer
82	Weapon 	Gaz Blade
83	Weapon 	Sword of Magic
84	Weapon 	Homunkulus's Sword
85	Weapon 	Phantom Sword
86	Weapon 	Tomahawk
87	Weapon 	Iron Hammer
88	Weapon 	Morning Star
89	Weapon 	Big Hammer
90	Weapon 	Goat Head Staff
91	Weapon 	Heavy War Axe
92	Weapon 	Sprite's Staff
93	Weapon 	Winged Spear
94	Weapon 	Bec de Corbin
95	Weapon 	Poleaxe
96	Weapon 	Scythe
97	Weapon 	Lance
98	Weapon 	Halberd
99	Weapon 	Apprentice's Spellbook
100	Weapon 	Voodoo Doll
101	Weapon 	Scroll of Wisdom
102	Armor 	Round Shield
103	Armor 	Tower Shield
104	Armor 	Shield of Victory
105	Armor 	Implosion Shield
106	Armor 	Dark Dragon Shield
107	Armor 	Composite Shield
108	Armor 	Masterpiece Shield
109	Armor 	Shield of Solar Eclipse
110	Armor 	Doom Shield
111	Armor 	Shield of Pledge
112	Armor 	Apprentice's Earring
113	Armor 	Mystic's Earring
114	Armor 	Earring of Strength
115	Armor 	Earring of Wisdom
116	Armor 	Magic Ring
117	Armor 	Ring of Mana
118	Armor 	Necklace of Magic
119	Armor 	Necklace of Seal
120	Weapon 	Sword of Reflection
121	Weapon 	Sword of Watershadow
122	Weapon 	Handmade Sword
123	Weapon 	Saber
124	Weapon 	Two-Handed Sword
125	Weapon 	Spinebone Sword
126	Weapon 	Artisan's Sword
127	Weapon 	Crimson Sword
128	Weapon 	Knight's Sword
129	Weapon 	Sword of Revolution
130	Weapon 	Elven Sword
131	Weapon 	Spirit Sword
132	Weapon 	Sword of Limit
133	Weapon 	Raid Sword
134	Weapon 	Sword of Nightmare
